year,avg_length,median_length
1986,27.0,27.0
1988,89.0,89.0
1989,68.66666666666667,64.5
1990,83.26923076923077,68.5
1991,85.90368271954674,80.0
1992,94.4526645768025,87.0
1993,98.34997770842621,89.0
1994,102.38717999603095,92.0
1995,105.55881900661234,94.0
1996,106.81319304435483,94.0
1997,109.25109637939826,97.0
1998,111.39565577161771,99.0
1999,112.3724548736462,100.0
2000,113.51292752111115,101.0
2001,115.22516596258298,103.0
2002,114.98545988312516,103.0
2003,116.85558714525055,105.0
2004,117.99123850482682,106.0
2005,119.92212196838804,108.0
2006,121.24561752196207,109.0
2007,121.64073037738557,109.0
2008,123.99726237034518,112.0
2009,126.27716127421142,114.0
2010,129.77532437969498,117.0
2011,131.35294117647058,119.0
2012,134.04773982506458,123.0
2013,135.3382395693136,125.0
2014,138.38652525873553,130.0
2015,140.71385903167507,133.0
2016,143.34272743300423,137.0
2017,146.1951187985232,141.0
2018,149.6171595061869,146.0
2019,152.02757236221836,149.0
2020,157.21927920347778,154.0
2021,159.90787944867537,158.0
2022,161.32285052181066,160.0
2023,164.03447995679252,163.0
2024,165.572083384628,165.0
2025,165.5812720579864,166.0
