category_code,count
cs.LG,244287
hep-ph,192165
hep-th,178313
cs.CV,175615
quant-ph,171085
cs.AI,153708
gr-qc,118018
astro-ph,105380
cond-mat.mtrl-sci,104514
cond-mat.mes-hall,98564
cs.CL,98081
math-ph,87122
math.MP,87122
cond-mat.str-el,80449
cond-mat.stat-mech,79236
math.CO,74964
astro-ph.CO,74622
stat.ML,74596
astro-ph.GA,74041
math.AP,70705
astro-ph.SR,67106
astro-ph.HE,66037
math.PR,63087
nucl-th,61131
hep-ex,58502
math.OC,57979
math.AG,57615
physics.optics,53595
cs.IT,52236
math.IT,52236
cs.RO,47414
math.NT,47024
math.DG,46248
cond-mat.supr-con,46200
math.NA,45281
cs.CR,44173
cond-mat.soft,43768
cs.SY,42030
math.DS,41201
eess.SP,37056
math.FA,34645
astro-ph.IM,33966
eess.SY,33819
astro-ph.EP,33438
stat.ME,33172
physics.flu-dyn,32403
cs.NA,31816
hep-lat,29700
eess.IV,29615
math.RT,29055
nucl-ex,27789
cs.DS,27564
physics.comp-ph,26945
cs.HC,26914
cs.DC,26671
stat.TH,26416
math.ST,26415
cs.NI,26016
cs.CY,25848
physics.chem-ph,25835
cond-mat.dis-nn,25683
math.GT,24972
math.GR,24666
physics.soc-ph,24302
math.CA,24298
cs.SE,23551
physics.ins-det,23514
cond-mat.quant-gas,23357
physics.atom-ph,23216
cs.IR,23051
cs.SI,22584
physics.app-ph,22260
stat.AP,22041
eess.AS,20432
math.QA,20357
math.RA,19284
cs.SD,19256
physics.plasm-ph,18956
math.CV,18726
cs.LO,18364
math.AT,17293
physics.bio-ph,17083
cs.NE,16849
cond-mat.other,16791
nlin.CD,16782
cs.DM,15067
math.LO,14884
math.AC,14266
cond-mat,14215
cs.GT,13753
math.OA,13735
nlin.SI,12609
q-bio.PE,12550
q-bio.QM,12497
math.MG,12482
cs.CC,12271
physics.data-an,11498
q-bio.NC,11446
cs.DB,10832
math.SP,10746
cs.MA,10740
physics.gen-ph,10696
nlin.PS,10499
math.SG,9876
math.CT,9731
stat.CO,9646
cs.CE,9615
cs.PL,9266
physics.class-ph,9172
cs.MM,8842
physics.acc-ph,8543
physics.med-ph,8473
cs.GR,8447
physics.geo-ph,8259
nlin.AO,7871
physics.ao-ph,7811
cs.CG,7713
cs.AR,7304
physics.space-ph,7287
cs.ET,6551
q-bio.BM,6526
q-fin.EC,6482
math.KT,6421
econ.GN,5918
cs.FL,5703
cs.DL,5696
math.GN,5692
physics.hist-ph,5407
cs.PF,4886
econ.EM,4852
math.GM,4519
physics.ed-ph,4394
math.HO,4052
q-bio.MN,4042
q-fin.ST,4038
q-bio.GN,3639
econ.TH,3543
q-fin.MF,3019
q-fin.CP,2989
cs.SC,2957
physics.atm-clus,2945
q-fin.GN,2897
q-fin.RM,2699
physics.pop-ph,2580
q-bio.TO,2555
cs.MS,2518
chao-dyn,2398
q-bio.CB,2389
cs.OH,2291
q-fin.PM,2203
q-fin.PR,2129
q-fin.TR,2094
q-bio.SC,1782
nlin.CG,1624
q-alg,1578
stat.OT,1569
q-bio.OT,1500
alg-geom,1423
solv-int,1413
q-bio,1356
cs.OS,1206
cmp-lg,894
dg-ga,732
patt-sol,650
adap-org,584
funct-an,427
mtrl-th,262
chem-ph,251
cs.GL,226
comp-gas,221
supr-con,175
atom-ph,123
acc-phys,49
plasm-ph,38
ao-sci,17
bayes-an,16
